Full Reference,Reference,doi,url,dir,title,au1,journal,scopus_id,nrefs,type,maybe
"Hong-Jun, C., L.M. Dutra, S.A. Glantz, and H.-J. Cho, Differences in adolescent e-cigarette and cigarette prevalence in two policy environments: South Korea and the United States. Nicotine and Tobacco Research, 2018. 20(8): p. 949-953.","Hong-Jun, C et al. (2018)",NA,"NicotineandTobaccoResearch,2018.20(8):p.949-953.",NA,Differences in adolescent e-cigarette and cigarette prevalence in two policy environments: South Korea and the United States,"Hong-Jun, C., L.M. Dutra, S.A. Glantz, and H.-J. Cho,",NA,NA,1,Journal article,0
"Ali, S., K. King, R. Vidourek, M. Ashley, and M. Rao, A study of electronic cigarette use among youth. Journal of Public Health (Germany), 2018. 26(4): p. 417-424.","Ali, S et al. (2018)",NA,2018.26(4):p.417-424.,NA,A study of electronic cigarette use among youth. Journal of Public Health (Germany),"Ali, S., K. King, R. Vidourek, M. Ashley, and M. Rao",NA,NA,1,Journal article,0
"Buckley, K. and H. Cheeseman, Smoking in the home: New solutions for a smokefree generation. 2018, Action on Smoking and Health: London.","Buckley, K and Cheeseman, H (2018)",NA,"2018,ActiononSmokingandHealth:London.",NA,Smoking in the home: New solutions for a smokefree generation.,"Buckley, K. and H. Cheeseman",NA,NA,1,Journal article,0
"Bao, W., G. Xu, J. Lu, L.G. Snetselaar, and R.B. Wallace, Changes in electronic cigarette use among adults in the United States, 2014-2016. JAMA, 2018. 319(19): p. 2,039-2,041.","Bao, W et al. (2018)",NA,"JAMA,2018.319(19):p.2,039-2,041.",NA,"Changes in electronic cigarette use among adults in the United States, 2014-2016","Bao, W., G. Xu, J. Lu, L.G. Snetselaar, and R.B. Wallace,",NA,NA,1,Journal article,0
"Pasquereau, A., R. Andler, R. Guignard, J. Richard, P. Arwidson, and V. Nguyen-Thanh, La consommation de tabac en France: premiers résultats du baromètre santé 2017. Bull épidémiol hebd, 2018: p. 14-15.","Pasquereau, A et al. (2017)",NA,"Bullépidémiolhebd,2018:p.14-15.",NA,a consommation de tabac en France: premiers résultats du baromètre santé 2017,"Pasquereau, A., R. Andler, R. Guignard, J. Richard, P. Arwidson, and V. Nguyen-Thanh",NA,NA,1,Journal article,0
"Action on Smoking and Health. Smoking still kills. Protecting children, reducing inequalities. London: ASH, 2015. www.ash.org.uk/files/documents/ASH_962.pdf [Accessed 10 June 2015].",Action on Smoking and Health (2015c),NA,www.ash.org.uk/files/documents/ASH_962.pdf,NA,"Smoking still kills. Protecting children, reducing inequalities.",Action on Smoking and Health,NA,NA,1,Journal article,0
"Bilano V, Gilmour S, Moffiet T et al. Global trends and projections for tobacco use, 1990–2025: an analysis of smoking indicators from the WHO Comprehensive InformationSystems for Tobacco Control. Lancet 2015;385:966–76.","Bilano, V et al. (2015)",NA,TobaccoControl.Lancet2015;385:966–76.,NA,"Global trends and projections for tobacco use, 1990–2025: an analysis of smoking indicators from the WHO Comprehensive InformationSystems","Bilano V, Gilmour S, Moffiet T et al",NA,NA,1,Journal article,0
Russel MAH. Low-tar medium-nicotine cigarettes: a new approach to safer smoking. BMJ 1976;i:1430–3.,"Russel, MA (1976)",NA,BMJ1976;i:1430–3,NA,Low-tar medium-nicotine cigarettes: a new approach to safer smoking.,Russel MAH.,NA,NA,1,Journal article,0
"Abascal W, Esteves E, Goja B et al. Tobacco control campaign in Uruguay: a populationbased trend analysis. Lancet 2012;380:1575–82.","Abascal, W et al. (2012)",NA,Lancet2012;380:1575–82.,NA,Tobacco control campaign in Uruguay: a populationbased trend analysis,"Abascal W, Esteves E, Goja B et al",NA,NA,1,Journal article,0
"Health and Social Care Information Centre. Smoking, drinking and drug use among young people in England in 2014. London: HSCIC, 2015. www.hscic.gov.uk/catalogue/PUB17879 /smok-drin-drug-youn-peop-eng-2014-rep.pdf [Accessed 25 February2016].",Health and Social Care Information Centre (2015c),NA,www.hscic.gov.uk/catalogue/PUB17879/smok-drin-drug-youn-peop-eng-2014-rep.pdf,NA,"Smoking, drinking and drug use among young people in England in 2014",Health and Social Care Information Centre,NA,NA,1,Journal article,0
"Department of Health. Smoking kills. A White Paper on Tobacco. London: DH, 1998.",Department of Health (1998),NA,"London:DH,1998.",NA,Smoking kills. A White Paper on Tobacco,Department of Health,NA,NA,1,Journal article,0
"Semple S, van Tongeren M, Galea KS et al. UK smoke-free legislation: changes in PM2.5 concentrations in bars in Scotland, England, and Wales. Ann Occup Hygiene 2009;54:272–80.","Semple, S et al. (2009)",NA,AnnOccupHygiene2009;54:272–80.,NA,"UK smoke-free legislation: changes in PM2.5 concentrations in bars in Scotland, England, and Wales","Semple S, van Tongeren M, Galea KS et al",NA,NA,1,Journal article,0
"Millett C, Lee J, Laverty A et al. Hospital admissions for childhood asthma after smokefree legislation in England. Pediatrics 2013;131:495–501.","Millett, C et al. (2013)",NA,Pediatrics2013;131:495–501.,NA,Hospital admissions for childhood asthma after smokefree legislation in England.,"Millett C, Lee J, Laverty A et al",NA,NA,1,Journal article,0
"Been J, Nurmatov U, Cox B et al. Effect of smoke-free legislation on perinatal and child health: a systematic review and meta-analysis. Lancet 2014;383:1549–60.","Been, J et al. (2014)",NA,Lancet2014;383:1549–60.,NA,Effect of smoke-free legislation on perinatal and child health: a systematic review and meta-analysis.,"Been J, Nurmatov U, Cox B et al.",NA,NA,1,Journal article,0
"Wakefield MA, Loken B, Hornik RC. Use of mass media campaigns to change health behaviour. Lancet 2010;376:1261–71.","Wakefield, MA et al. (2010)",NA,Lancet2010;376:1261–71.,NA,Use of mass media campaigns to change health behaviour.,"Wakefield MA, Loken B, Hornik RC",NA,NA,1,Journal article,0
"Langley T, Lewis S, McNeill A et al. Characterizing tobacco control mass media campaigns in England. Addiction 2013;108:2001–8.","Langley, T et al. (2013)",NA,Addiction2013;108:2001–8.,NA,haracterizing tobacco control mass media campaigns in England,"Langley T, Lewis S, McNeill A et al",NA,NA,1,Journal article,0
"Langley TE, McNeill A, Lewis S et al. The impact of media campaigns on smoking cessation activity: a structural vector autoregression analysis. Addiction 2012;107:2043–50.","Langley, T et al. (2012)",10.1111/j.1360-0443.2012.03958.x,Addiction2012;107:2043–50.,NA,The impact of media campaigns on smoking cessation activity: A structural vector autoregression analysis,Langley T.,Addiction,SCOPUS_ID:84867194134,1,Journal article,0
"Langley T, Szatkowski L, Lewis S et al. The freeze on mass media campaigns in England: a natural experiment of the impact of tobacco control campaigns on quitting behaviour.Addiction 2014;109:995–1002.","Langley, T et al. (2014)",10.1111/add.12448,Addiction2014;109:995–1002.,NA,The freeze on mass media campaigns in England: A natural experiment of the impact of tobacco control campaigns on quitting behaviour,Langley T.,Addiction,SCOPUS_ID:84899959769,1,Journal article,0
"Miller C, Ettridge K, Wakefield M. Research paper: ‘You’re made to feel like a dirty filthy smoker when you’re not, cigar smoking is another thing all together.’ Responses of Australian cigar and cigarillo smokers to plain packaging. Tob Control 2015;24:ii58–65.","Miller, C et al. (2015)",NA,TobControl2015;24:ii58–65.,NA,"You’re made to feel like a dirty filthy smoker when you’re not, cigar smoking is another thing all together.’ Responses of Australian cigar and cigarillo smokers to plain packaging","Miller C, Ettridge K, Wakefield M.",NA,NA,1,Journal article,0
"Diethelm P, Farley T. Refuting tobacco-industry funded research: empirical data shows decline in smoking prevalence following introduction of plain packaging in Australia. Tob Prev Cessation 2015;1:6.","Diethelm, P and Farley, T (2015)",NA,TobPrevCessation2015;1:6.,NA,Refuting tobacco-industry funded research: empirical data shows decline in smoking prevalence following introduction of plain packaging in Australia.,"Diethelm P, Farley T.",NA,NA,1,Journal article,0
"Scollo M, Zacher M, Durkin S et al. Use of illicit tobacco following introduction of standardised packaging of tobacco products in Australia: results from a national crosssectional survey. Tob Control 2015;24:ii76–81.","Scollo, M et al . (2015b)",NA,TobControl2015;24:ii76–81.,NA,Use of illicit tobacco following introduction of standardised packaging of tobacco products in Australia: results from a national crosssectional survey.,"Scollo M, Zacher M, Durkin S et al",NA,NA,1,Journal article,0
"Di Franza J, Savageua J, Fletcher K. Enforcement of underage sales laws as a predictor of daily smoking among adolescents – a national study. BMC Public Health 2009;9:107.","Di Franza, J et al. (2009)",NA,BMCPublicHealth2009;9:107.,NA,Enforcement of underage sales laws as a predictor of daily smoking among adolescents – a national study.,"Di Franza J, Savageua J, Fletcher K.",NA,NA,1,Journal article,0
"Hublet A, Schmid H, Clays E et al. Association between tobacco control policies and smoking behaviour among adolescents in 29 European countries. Addiction 2009; 04/01/1900  08:11:00","Hublet, A et al. (2009)",10.1111/j.1360-0443.2009.02686.x,Addiction2009;04/01/190008:11:00,NA,Association between tobacco control policies and smoking behaviour among adolescents in 29 European countries,Hublet A.,Addiction,SCOPUS_ID:70349862204,1,Journal article,0
"National Institute for Health and Care Excellence. Smoking cessation services. NICE guidelines [PH10]. London: NICE, 2008.",National Institute for Health and Care Excellence (2008),NA,"London:NICE,2008.",NA,Smoking cessation services. NICE guidelines [PH10].,National Institute for Health and Care Excellence.,NA,NA,1,Journal article,0
"Dobbie F, Hiscock R, Leonardi-Bee J et al. Evaluating long-term outcomes of NHS Stop Smoking Services (ELONS): a prospective cohort study. Health Techol Assess 2015;19:95.","Dobbie, F et al. (2015)",10.3310/hta19950,HealthTecholAssess2015;19:95.,NA,Evaluating long-term outcomes of NHS stop smoking services (ELONS): A prospective cohort study,Dobbie F.,Health Technology Assessment,SCOPUS_ID:84947763445,1,Journal article,0
"Health and Social Care Information Centre. Smoking, drinking and drug use among young people in England – 2013. London: HSCIC, 2014.",Health and Social Care Information Centre (2014b),NA,"ondon:HSCIC,2014.",NA,"Smoking, drinking and drug use among young people in England – 2013.",Health and Social Care Information Centre,NA,NA,1,Journal article,0
Benowitz NL. Nicotine addiction. N Engl J Med 2010;362:2295–303.,"Benowitz, NL (2010)",NA,NEnglJMed2010;362:2295–303.,NA,Nicotine addiction,Benowitz NL,NA,NA,1,Journal article,0
"Rose JE, Mukhin AG, Lokitz SJ et al. Kinetics of brain nicotine accumulation in dependent and nondependent smokers assessed with PET and cigarettes containing 11C-nicotine. Proc Natl Acad Sci USA 2010;107:5190–5.","Rose, JE et al. (2010b)",NA,ProcNatlAcadSciUSA2010;107:5190–5.,NA,Kinetics of brain nicotine accumulation in dependent and nondependent smokers assessed with PET and cigarettes containing 11C-nicotine.,"Rose JE, Mukhin AG, Lokitz SJ et al",NA,NA,1,Journal article,0
"Benowitz NL, Swan GE, Jacob P 3rd, Lessov-Schlaggar CN, Tyndale RF. CYP2A6 genotype and the metabolism and disposition kinetics of nicotine. Clin Pharmacol Ther2006;80:457–67.","Benowitz, NL etal. (2006)",10.1016/j.clpt.2006.08.011,ClinPharmacolTher2006;80:457–67.,NA,CYP2A6 genotype and the metabolism and disposition kinetics of nicotine,Benowitz N.,Clinical Pharmacology and Therapeutics,SCOPUS_ID:33750518486,1,Journal article,0
"Dempsey D, Tutka P, Jacob P 3rd et al. Nicotine metabolite ratio as an index of cytochrome P450 2A6 metabolic activity. Clin Pharmacol Ther 2004;76:64–72.","Dempsey, D et al. (2004)",10.1016/j.clpt.2004.02.011,ClinPharmacolTher2004;76:64–72.,NA,Nicotine metabolite ratio as an index of cytochrome P450 2A6 metabolic activity,Dempsey D.,Clinical Pharmacology and Therapeutics,SCOPUS_ID:3042563552,1,Journal article,0
"Chenoweth MJ, Tyndale RF. Nicotine metabolism as an intermediate phenotype. In: MacKillop J, Munafo MR, eds. Genetic influences on addiction: an intermediate phenotype approach. Cambridge, MA: MIT Press, 2013, 65–96.","Chenoweth, MJ and Tyndale, RF (2013)",NA,"Cambridge,MA:MITPress,2013,65–96.",NA,Nicotine metabolism as an intermediate phenotype,"Chenoweth MJ, Tyndale RF",NA,NA,1,Journal article,0
"Schoedel KA, Hoffmann EB, Rao Y, Sellers EM, Tyndale RF. Ethnic variation in CYP2A6 and association of genetically slow nicotine metabolism and smoking in adult Caucasians. Pharmacogenetics 2004;14:615–26.","Schoedel, KA et al. (2004)",10.1097/00008571-200409000-00006,Pharmacogenetics2004;14:615–26.,NA,Ethnic variation in CYP2A6 and association of genetically slow nicotine metabolism and smoking in adult Caucasians,Schoedel K.,Pharmacogenetics,SCOPUS_ID:4644255903,1,Journal article,0
"Patterson F, Schnoll RA, Wileyto EP et al. Toward personalized therapy for smoking cessation: a randomized placebo-controlled trial of bupropion. Clin Pharmacol Ther 2008;84:320–5.","Patterson, F et al. (2008)",10.1038/clpt.2008.57,ClinPharmacolTher2008;84:320–5.,NA,Toward personalized therapy for smoking cessation: A randomized placebo-controlled trial of bupropion,Patterson F.,Clinical Pharmacology and Therapeutics,SCOPUS_ID:48949107504,1,Journal article,0
"Lerman C, Tyndale R, Patterson F et al. Nicotine metabolite ratio predicts efficacy of transdermal nicotine for smoking cessation. Clin Pharmacol Ther 2006;79:600–8.","Lerman, C et al. (2006)",10.1016/j.clpt.2006.02.006,ClinPharmacolTher2006;79:600–8.,NA,Nicotine metabolite ratio predicts efficacy of transdermal nicotine for smoking cessation,Lerman C.,Clinical Pharmacology and Therapeutics,SCOPUS_ID:33744519035,1,Journal article,0
"Nakajima M, Fukami T, Yamanaka H et al. Comprehensive evaluation of variability in nicotine metabolism and CYP2A6 polymorphic alleles in four ethnic populations. Clin Pharmacol Ther 2006;80:282–97.","Nakajima, M et al. (2006)",10.1016/j.clpt.2006.05.012,ClinPharmacolTher2006;80:282–97.,NA,Comprehensive evaluation of variability in nicotine metabolism and CYP2A6 polymorphic alleles in four ethnic populations,Nakajima M.,Clinical Pharmacology and Therapeutics,SCOPUS_ID:33748151442,1,Journal article,0
"Decker MW, Sullivan JP, Arneric SP, Williams M. Neuronal nicotinic acetylcholine receptors: Novel targets for CNS therapeutics. Psychopharmacology: fourth generation of progress, 2000. Chapter update (online). www.acnp.org/citations/GN401000009/ [Accessed 2 March 2016].","Decker, MW et al. (2000)",NA,www.acnp.org/citations/GN401000009/,NA,Neuronal nicotinic acetylcholine receptors: Novel targets for CNS therapeutics. Psychopharmacology: fourth generation of progress,"Decker MW, Sullivan JP, Arneric SP, Williams M.",NA,NA,1,Journal article,0
"Picciotto MR, Zoli M, Rimondini R et al. Acetylcholine receptors containing the beta2 subunit are involved in the reinforcing properties of nicotine. Nature 1998;391:173–7.","Picciotto, MR et al. (1998)",NA,Nature1998;391:173–7.,NA,Acetylcholine receptors containing the beta2 subunit are involved in the reinforcing properties of nicotine,"Picciotto MR, Zoli M, Rimondini R et al",NA,NA,1,Journal article,0
"Hecht SS. Tobacco carcinogens, their biomarkers and tobacco-induced cancer. Nat Rev Cancer 2003;3:733–44.","Hecht, SS (2003)",NA,NatRevCancer2003;3:733–44.,NA,"Erratum: Tabacco carcinogens, their biomarkers and tobacco-induced cancer (Nature Reviews Cancer (2003) 3 (733-744))",Hecht S.,Nature Reviews Cancer,SCOPUS_ID:0347753696,1,Journal article,0
"Murray RP, Bailey WC, Daniels K et al.; Lung Health Study Research Group. Safety of nicotine polacrilex gum used by 3,094 participants in the Lung Health Study. Chest 1996;109:438–45.","Murray, RP et al. (1996)",NA,Chest1996;109:438–45.,NA,"Lung Health Study Research Group. Safety of nicotine polacrilex gum used by 3,094 participants in the Lung Health Study.","Murray RP, Bailey WC, Daniels K et al.",NA,NA,1,Journal article,0
"Medicines and Healthcare products Regulatory Agency. The use of nicotine replacement therapy to reduce harm in smokers. London: MHRA, 2010.",Medicines and Healthcare Products Regulatory Agency (2010c),NA,"London:MHRA,2010.",NA,The use of nicotine replacement therapy to reduce harm in smokers,Medicines and Healthcare products Regulatory Agency,NA,NA,1,Journal article,0
