Reference,nrefs,Full Reference
"Horst, N et al. (2012)",1,"Horst  NK, Heath  CJ, Neugebauer  NM, Kimchi EY, Laubach M, Picciotto MR. Impaired auditory discrimi- nation  learning  following perinatal  nicotine  exposure or beta2 nicotinic acetylcholine receptor subunit dele- tion. Behavioural Brain Research 2012;231(1):170–80."
"Hua, M et al. (2013)",1,"Hua M, Yip H, Talbot P. Mining data on usage of electronic nicotine delivery systems (ENDS) from YouTube videos. Tobacco Control 2013;22(2):103–6."
"Huang, YY et al. (2013)",1,"Huang  YY,  Kandel DB, Kandel ER, Levine A.  Nicotine primes the effect of cocaine on the induction  of LTP in the amygdala. Neuropharmacology 2013;74:126–34."
"Hubbs, AF et al. (2015)",1,"Hubbs  AF,  Cummings  KJ, McKernan LT, Dankovic DA, Park RM, Kreiss K. Comment on Farsalinos et al. “eval- uation  of electronic  cigarette  liquids and aerosol for the presence of selected inhalation toxins.” Nicotine & Tobacco Research 2015;17(10):1288–9."
"Hubbs, AF et al. (2012)",1,"Hubbs  AF,  Cumpston  AM, Goldsmith  WT, Battelli  LA, Kashon ML, Jackson MC, Frazer  DG, Fedan JS, Goravanahally MP, Castranova V, et al. Respiratory and olfactory cytotoxicity of inhaled 2,3-pentanedione  in Sprague-Dawley rats. American Journal of Pathology 2012;181(3):829–44."
"Hyland, A et al. (2008)",1,"Hyland A, Travers MJ, Dresler C, Higbee C, Cummings KM. A  32-country  comparison  of tobacco  smoke  derived particle levels in indoor public places. Tobacco Control 2008;17(3):159–65."
"Iliadou, AN et al. (2010)",1,"Iliadou  AN, Koupil I, Villamor  E, Altman D, Hultman C, Langstrom N, Cnattingius  S. Familial factors con- found   the   association   between  maternal   smoking during pregnancy and young adult offspring over- weight. International     Journal    of    Epidemiology 2010;39(5):1193–202."
"Inamdar, AS et al. (2015)",1,"Inamdar  AS, Croucher  RE, Chokhandre  MK, Mashyakhy MH, Marinho VC. Maternal smokeless tobacco use in pregnancy and adverse health outcomes in newborns: a  systematic  review. Nicotine  &  Tobacco  Research 2015;17(9):1058–66."
"Iniguez, SD et al. (2009)",1,"Iniguez SD, Warren BL, Parise EM, Alcantara LF, Schuh B, Maffeo ML, Manojlovic Z, Bolanos-Guzman CA. Nicotine exposure  during  adolescence  induces  a  depression- like  state  in  adulthood.  Neuropsychopharmacology 2009;34(6):1609–24."
"Ino, T (2010)",1,Ino  T.  Maternal  smoking  during   pregnancy  and  off- spring obesity: meta-analysis. Pediatrics International 2010;52(1):94–9.
International Agency for Research on Cancer. Acrolein (1995),1,International Agency for Research on Cancer. Acrolein. IARC Monographs on the Evaluation of Carcinogenic Risks to Humans 1995;63:337–72.
International Agency for Research on Cancer (2000),1,"International Agency for Research on Cancer. IARC Monographs on the Evaluation of Carcinogenic Risks to Humans, Volume 77: Some Industrial Chemicals. Lyon (France): World Health Organization and International Agency for Research on Cancer,  2000."
International Agency for Research on Cancer (2009),1,"International Agency for Research on Cancer. IARC Monographs on the Evaluation of Carcinogenic Risks to Humans: A Review of Human  Carcinogens. Part F: Chemical agents and related occupations. Vol. 100F. Lyon (France): International Agency for Research on Cancer, 2009."
International Agency for Research on Cancer (2004),1,"International Agency for Research on Cancer. IARC Monographs   on   the   Evaluation   of   Carcinogenic Risks to Humans: Tobacco Smoke and Involuntary Smoking.  Vol. 83. Lyon (France): International Agency for Research on Cancer, 2004."
"Isensee, B et al. (2003)",1,"Isensee  B, Wittchen  HU, Stein  MB, Hofler M, Lieb R. Smoking increases the risk of panic: findings from a prospective community study. Archives of General Psychiatry 2003;60(7):692–700."
"Jacob, P et al. (1999)",1,"Jacob P 3rd, Yu L, Shulgin AT, Benowitz NL. Minor tobacco alkaloids as biomarkers for tobacco use: comparison of users of cigarettes, smokeless tobacco, cigars, and pipes. American Journal of Public Health 1999;89(5):731–6."
"Jacobsen, LK et al. (2005)",1,"Jacobsen LK, Krystal JH, Mencl WE, Westerveld M, Frost SJ, Pugh KR. Effects of smoking and smoking absti- nence on cognition in adolescent tobacco smokers. Biological Psychiatry 2005;57(1):56–66."
"Jacobsen, LK et al. (2007a)",1,"Jacobsen LK, Picciotto MR, Heath CJ, Frost SJ, Tsou KA, Dwan RA, Jackowski MP, Constable  RT, Mencl WE. Prenatal and adolescent exposure to tobacco smoke modulates the development of white matter microstruc- ture. Journal of Neuroscience 2007a;27(49):13491–8."
"Jacobsen, LK et al. (2007b)",1,"Jacobsen LK, Slotkin TA, Mencl WE, Frost SJ, Pugh KR. Gender-specific effects of prenatal and adolescent expo- sure to tobacco smoke on auditory and visual attention. Neuropsychopharmacology 2007b;32(12):2453–64."
"Jacobsen, LK et al. (2006)",1,"Jacobsen LK, Slotkin TA, Westerveld M, Mencl WE, Pugh KR. Visuospatial memory deficits emerging during nico- tine withdrawal in adolescents with prenatal exposure to active maternal  smoking  Neuropsychopharmacology 2006;31(7):1550–61."
"Jacobson, JT et al. (1984)",1,"Jacobson  JT, Morehouse  CR. A  comparison  of auditory brain stem response and behavioral screening in high risk  and  normal  newborn  infants.  Ear and  Hearing 1984;5(4):247–53."
"Jamal, M et al. (2011)",1,"Jamal M, Does AJ, Penninx BW, Cuijpers P. Age at smoking onset  and the  onset  of depression and anxiety disor- ders. Nicotine & Tobacco Research 2011;13(9):809–19."
"Jasinska, AJ et al. (2014)",1,"Jasinska AJ, Zorick T, Brody AL, Stein  EA. Dual role of nicotine  in addiction and cognition: a review of neu- roimaging   studies  in  humans.   Neuropharmacology 2014;84:111–22."
"Jauniaux, E et al. (1999)",1,"Jauniaux  E,  Gulbis  B, Acharya G, Thiry  P,  Rodeck C. Maternal tobacco exposure and cotinine levels in fetal fluids in the first half of pregnancy. Obstetrics and Gynecology 1999;93(1):25–9."
"Jayaprakasha, GK and Rao, LJ (2011)",1,"Jayaprakasha GK, Rao LJ. Chemistry, biogenesis, and biological activities of Cinnamomum  zeylanicum. Critical  Reviews   in   Food  Science   and   Nutrition 2011;51(6):547–62."
"John, U et al. (2004)",1,"John  U, Meyer C, Rumpf HJ, Hapke U. Self-efficacy to refrain   from  smoking   predicted  by  major   depres- sion  and  nicotine  dependence.  Addictive  Behaviors 2004;29(5):857–66."
"Kable, JA et al. (2009)",1,"Kable JA, Coles CD, Lynch ME, Carroll J. The impact of maternal smoking on fast auditory brainstem responses. Neurotoxicology and Teratology 2009;31(4):216–24."
"Kandel, DB and Kandel, ER (2015)",1,"Kandel D, Kandel E. The Gateway Hypothesis of substance abuse: developmental, biological and societal perspec- tives. Acta Paediatrica 2015;104(2):130–7."
"Kandel, DB et al. (2007)",1,"Kandel DB, Hu  MC, Griesler  PC, Schaffran  C. On the development of nicotine dependence in adolescence. Drug and Alcohol Dependence 2007;91(1):26–39."
"Kandel, DB and Udry, JR (1999)",1,"Kandel   DB,  Udry  JR.  Prenatal   effects  of  maternal smoking on daughters’ smoking: nicotine or testos- terone  exposure? American Journal of Public Health 1999;89(9):1377–83."
"Kandel, DB et al. (1994)",1,"Kandel DB, Wu P, Davies M. Maternal smoking during preg- nancy and smoking by adolescent daughters. American Journal of Public Health 1994;84(9):1407–13."
"Kandel, DB et al. (1992)",1,"Kandel DB, Yamaguchi K, Chen K. Stages of progression in drug involvement from adolescence to adulthood: further  evidence for the gateway theory. Journal of Studies on Alcohol 1992;53(5):447–57."
"Kardia, SL et al. (2003)",1,"Kardia SL, Pomerleau CS, Rozek LS, Marks JL. Association of parental smoking history with nicotine dependence, smoking rate, and psychological cofactors in adult smokers. Addictive Behaviors 2003;28(8):1447–52."
"Katbamna, B et al. (2013)",1,"Katbamna  B, Klutz  N,  Pudrith   C, Lavery JP,  Ide  CF. Prenatal smoke exposure: effects on infant auditory system and placental gene expression. Neurotoxicology and Teratology 2013;38:61–71."
"Key, AP et al. (2007)",1,"Key AP, Ferguson  M, Molfese DL, Peach K, Lehman  C, Molfese VJ. Smoking during pregnancy affects speech- processing ability in newborn infants. Environmental Health Perspectives 2007;115(4):623–9."
"Kim, HJ and Shin, HS (2013)",1,"Kim HJ, Shin HS. Determination of tobacco-specific nitro- samines in replacement liquids of electronic cigarettes by liquid chromatography-tandem mass spectrometry. Journal of Chromatography  A 2013;1291:48–55."
"King, BA et al. (2014)",1,"King BA, Tynan MA, Dube SR, Arrazola R. Flavored-little- cigar  and  flavored-cigarette  use  among  U.S. middle and high school students.  Journal of Adolescent Health 2014;54(1):40–6."
"Kisilevsky, BS et al. (2014)",1,"Kisilevsky  BS,  Chambers   B,  Parker   KC,  Davies  GA Auditory processing  in growth-restricted  fetuses and newborns and later language development. Clinical Psychological Science 2014;2(4):495–513."
"Kisilevsky, BS and Davies, GA (2007)",1,"Kisilevsky BS, Davies GA. Auditory processing deficits in growth restricted fetuses affect later language develop- ment. Medical Hypotheses 2007;68(3):620–8."
"Klein, LC et al. (2003)",1,"Klein LC, Stine MM, Pfaff DW, Vandenbergh DJ. Maternal nicotine exposure increases nicotine preference in periadolescent  male  but  not  female C57B1/6J mice. Nicotine & Tobacco Research 2003;5(1):117–24."
"Kleykamp, BA et al. (2008)",1,"Kleykamp BA, Jennings JM, Sams C, Weaver MF, Eissenberg T. The influence of transdermal nicotine on tobacco/nic- otine abstinence and the effects of a concurrently admin- istered cigarette in women and men. Experimental  and Clinical Psychopharmacology 2008;16(2):99–112."
"Kohlmeier, KA (2015)",1,"Kohlmeier  KA. Nicotine  during  pregnancy:  changes induced in neurotransmission, which could heighten proclivity to addict and induce maladaptive control of attention.  Journal of Developmental Origins of Health and Disease 2015;6(3):169–81."
"Korres, S et al. (2007)",1,"Korres S, Riga M, Balatsouras D, Papadakis C, Kanellos P, Ferekidis E. Influence of smoking on developing cochlea. Does smoking during pregnancy affect the amplitudes   of  transient    evoked  otoacoustic   emis- sions in newborns? International  Journal of Pediatric Otorhinolaryngology  2007;71(5):781–6."
"Kota, D et al. (2007)",1,"Kota D, Martin  BR, Robinson  SE, Damaj MI. Nicotine dependence   and  reward  differ  between  adolescent and adult male mice. Journal of Pharmacology and Experimental  Therapeutics 2007;322(1):399–407."
"Kristjansson, AL et al. (2015)",1,"Kristjansson  AL, Mann  MJ, Sigfusdottir  ID. Licit  and illicit substance use by adolescent e-cigarette users compared with conventional cigarette smokers, dual users,  and  non  users.  Journal  of Adolescent  Health 2015;57(5):562–4."
"Kristjansson, EA et al. (1989)",1,"Kristjansson EA, Fried PA, Watkinson B. Maternal smoking during  pregnancy  affects children’s  vigilance  perfor- mance. Drug and Alcohol Dependence 1989;24(1):11–9. Krous  H. Sudden  Infant  Death  Syndrome  (SIDS), Sudden UnexpectedDeathinInfancy(SUDI),andSuddenUnexplained Death in Childhood (SUDC). In: Collins KA, Byard RW, edi- tors. Forensic Pathology of Infancy and Childhood. 1st ed. New York: Springer-Verlag, 2014:193–206."
"Krous, H (2014)",1,"Krous  H. Sudden  Infant  Death  Syndrome  (SIDS), Sudden UnexpectedDeathinInfancy(SUDI),andSuddenUnexplained Death in Childhood (SUDC). In: Collins KA, Byard RW, edi- tors. Forensic Pathology of Infancy and Childhood. 1st ed. New York: Springer-Verlag, 2014:193–206."
"Kuja-Halkola, R et al. (2014)",1,"Kuja-Halkola R, D’Onofrio BM, Larsson H, Lichtenstein P. Maternal smoking during pregnancy and adverse out- comes in offspring: genetic and environmental sources of covariance. Behavior Genetics 2014;44(5):456–67."
"La Merrill, MA et al. (2015)",1,"La Merrill MA, Cirillo PM, Krigbaum NY, Cohn BA. The impact  of prenatal  parental  tobacco smoking on risk of diabetes mellitus  in  middle-aged women. Journal of  Developmental   Origins  of  Health   and  Disease 2015;6(3):242–9."
"Lacy, RT et al. (2012)",1,"Lacy RT, Hord LL, Morgan AJ, Harrod SB. Intravenous ges- tational nicotine exposure results in increased motiva- tion for sucrose reward in adult rat offspring. Drug and Alcohol Dependence 2012;124(3):299–306."
"Lacy, RT et al. (2014)",1,"Lacy RT, Morgan  AJ, Harrod  SB. IV prenatal  nicotine exposure  increases  the  reinforcing  efficacy of meth- amphetamine  in adult rat offspring. Drug and Alcohol Dependence 2014;141:92–8."
"Lai, S et al. (2000)",1,"Lai S, Lai H, Page JB, McCoy CB. The association between cigarette smoking and drug abuse in the United States. Journal of Addictive Diseases 2000;19(4):11–24."
"Langley, K et al. (2012)",1,"Langley K, Heron J, Smith  GD, Thapar A. Maternal and paternal smoking during pregnancy and risk of ADHD symptoms in offspring: testing for intrauterine effects. American Journal of Epidemiology 2012;176(3):261–8."
"Langley, K et al. (2005)",1,"Langley K, Rice F, van den Bree MB, Thapar A. Maternal smoking  during  pregnancy as an environmental  risk factor for attention deficit hyperactivity disorder behaviour. A review. Minerva Pediatrica 2005;57(6):359–71."
"Latimer, K et al. (2012)",1,"Latimer K, Wilson P, Kemp J, Thompson L, Sim F, Gillberg C, Puckering C, Minnis H. Disruptive behaviour disor- ders: a systematic review of environmental  antenatal and early years risk factors. Child: Care, Health  and Development 2012;38(5):611–28."
"Lau, D and Baldus, S (2006)",1,"Lau D, Baldus S. Myeloperoxidase and its contributory role in inflammatory vascular disease. Pharmacology and Therapeutics 2006;111(1):16–26."
"Laugesen, M (2015)",1,Laugesen M. Nicotine and toxicant yield ratings  of elec- tronic  cigarette brands in New Zealand. New Zealand Medical Journal 2015;128(1411):77–82.
"Lavigne, JV et al. (2011)",1,"Lavigne JV, Hopkins J, Gouze KR, Bryant FB, LeBailly SA, Binns HJ, Lavigne PM. Is smoking during  pregnancy a risk factor for psychopathology in young children? A methodological caveat and report on preschoolers. Journal of Pediatric Psychology 2011;36(1):10–24."
"Lee, S et al. (2011)",1,"Lee S, Kimm  H, Yun  JE, Jee SH. Public  health  chal- lenges  of electronic  cigarettes  in  South  Korea. Journal  of  Preventive  Medicine  and  Public  Health 2011;44(6):235–41."
"Lee, SC et al. (2014)",1,"Lee SC, Stokkeland  KL, Cole JB, Bangh SA. Electronic cigarettes: A safe way to light up? Clinical Toxicology 2014;52:777."
"Lee, YH et al. (2015)",1,"Lee YH, Gawron M, Goniewicz ML. Changes in puffing behavior among smokers who switched from tobacco to electronic cigarettes. Addictive Behaviors 2015;48:1–4."
"Leech, SL et al. (1999)",1,"Leech  SL,  Richardson   GA, Goldschmidt   L,  Day  NL. Prenatal   substance   exposure:  effects  on   attention and impulsivity  of 6-year-olds. Neurotoxicology  and Teratology 1999;21(2):109–18."
"Lejuez, CW et al. (2005)",1,"Lejuez  CW, Aklin  W,  Bornovalova  M,  Moolchan  ET. Differences  in  risk-taking   propensity  across  inner- city adolescent ever- and never-smokers. Nicotine & Tobacco Research 2005;7(1):71–9."
"Lenroot, RK and Giedd, JN (2006)",1,"Lenroot  RK, Giedd JN. Brain  development  in  children and adolescents: insights from anatomical magnetic resonance imaging. Neuroscience and Biobehavioral Reviews 2006;30(6):718–29."
"Leslie, FM (2013)",1,Leslie FM. Multigenerational epigenetic effects of nicotine on lung function. BMC Medicine 2013;11:27.
"Leventhal, AM and Zvolensky, MJ (2015)",1,"Leventhal AM, Zvolensky MJ. Anxiety, depression, and cig- arette smoking: a transdiagnostic  vulnerability frame- work to understanding  emotion-smoking comorbidity. Psychological Bulletin 2015;141(1):176–212."
"Levin, ED et al. (2006)",1,"Levin ED, Lawrence S, Petro A, Horton K, Seidler FJ, Slotkin TA. Increased nicotine self-administration fol- lowing prenatal exposure in female rats. Pharmacology, Biochemistry  and Behavior 2006;85(3):669–74."
