Reference,doi,dir,title,journal,nrefs,type,conflicts
"Wagoner, KG et al. (2014)",10.1093/ntr/ntu081,Documents/E-cigarette citation library.Data/PDF/3334545835/10.1093_ntr_ntu081-2014.pdf,E-cigarette availability and promotion among retail outlets near college campuses in two southeastern states,Nicotine and Tobacco Research,1,Journal article,e National Cancer Institute or the   National Institutes of Health   deClArAtioN of iNtereStS  None declared   1153  e cigarette availability and promotion in NC and VA  ACkNowledgMeNt  Thank you to assessors K Â  Egan  S Â  Hulme  C Â  Kimes  and   D Â Pleasants and R Â Hopley  who oversaw data management   refereNCeS  American Legacy Foundation   2012   Electronic cigarettes    ECigarettes   Fact shee
"Williams, RS et al. (2015)",10.1001/jamapediatrics.2015.63,Documents/E-cigarette citation library.Data/PDF/2449539014/10.1001_jamapediatrics.2015.63-2015.pdf,Electronic cigarette sales to minors via the internet,JAMA Pediatrics,1,Journal article,"pt for important  intellectual content  Williams  Ribisl   Statistical analysis  Derrick   Obtained funding  Williams  Ribisl   Administrative  technical  or material support  Williams   Study supervision  Williams   Conflict of Interest Disclosures  Dr Ribisl has served  as an expert consultant in litigation against tobacco  companies  No other disclosures were reported   Funding Support  Research repor
ug Administration   Corrections  This article was corrected on March 9   2015  for a change made in Funding Support and a  Disclaimer addition and on March 16  2015  for a  change in wording in the Results section   REFERENCES  1  Herzog B  Gerberi J  E cigs revolutionizing the  tobacco industry  http   www smallcapfinancialwire   com wp content uploads 2013 11 E Cigs   Revolutionizing the Tobacco Indust"
"Bader, P et al. (2011)",10.3390/ijerph8114118,Documents/E-cigarette citation library.Data/PDF/0954413336/10.3390_ijerph8114118-2011.pdf,Effects of tobacco taxation and pricing on smoking behavior in high risk populations: A knowledge synthesis,International Journal of Environmental Research and Public Health,1,Journal article," 101     While there are numerous studies that support the effectiveness of increasing prices  most declare   that equity implications need to be paramount  Even studies that support increased taxes underscore   the need to implement policies or measures to assist those who continue to smoke  especially for those   smokers who do not quit or reduce smoking in response to increased taxes and who  as a re
d  M   Wardman  D  This   study was funded by the Canadian Tobacco Control Research Initiative  The funding source had no   role in the writing of the paper    Pearl Bader  Principal Author  took the lead in the study design  implementation  and analysis  and   was responsible for writing the manuscript  David Boisclair  Co Author  helped with the study design    implementation  analysis and edit of the 
manuscript  Roberta Ferrence  Senior Responsible Author    was responsible for the conception  funding and oversight of the study and contributed to the study   design and edit of the manuscript  All authors declare that they have no conflicting interests    References   1  World Health Organization  WHO Report on the Global Tobacco Epidemic  World Health   Organization  Geneva  Switzerland  2008   "
"Bam, TS et al. (2014)",10.5588/ijtld.13.0815,Documents/E-cigarette citation library.Data/PDF/2287900422/10.5588_ijtld.13.0815-2014.pdf,Position statement on electronic cigarettes or electronic nicotine delivery systems,International Journal of Tuberculosis and Lung Disease,1,Journal article,
"Benowitz, NL (2014)",10.1513/AnnalsATS.201312-433PS,Documents/E-cigarette citation library.Data/PDF/0594676168/10.1513_AnnalsATS.201312-433PS-2014.pdf,Emerging nicotine delivery products implications for public health,Annals of the American Thoracic Society,1,Journal article,isease risk  when in fact this may not  be the case  Furthermore  there is some  evidence  although conflicting  that  smokeless tobacco among U S  adolescents  is a strong risk factor for becoming an adult  smoker  although smokeless tobacco does  not appear to be a gateway to smoking  in Sweden  15  16   A recent analysis  modeling the benefit versus harm for  smokeless tobacco use in the U S   populati
"Chang, H (2014)",10.1136/tobaccocontrol-2013-051480,Documents/E-cigarette citation library.Data/PDF/3544092920/10.1136_tobaccocontrol-2013-051480-2014.pdf,Research gaps related to the environmental impacts of electronic cigarettes,Tobacco Control,1,Journal article,and glycerine  They also found that nicotine levels were on  average 22  above the manufacturerâ  s declaration of 18 mg   mL  but liquids labelled as nicotine free had no nicotine  present  All e cigarette solutions contained small amounts of  sensitising chemicals including benzyl alcohol  menthol and van   illin  They found none of the tobacco specific nitrosamines  eg   N nitrosonornicotine  N nitro
"Fagerström, KO and Bridgman, K (2014)",10.1016/j.addbeh.2013.11.002,Documents/E-cigarette citation library.Data/PDF/0478497706/10.1016_j.addbeh.2013.11.002-2014.pdf,Tobacco harm reduction: The need for new products that can compete with cigarettes,Addictive Behaviors,1,Journal article,"                                                                                       510  Role of funding sources                                                                                                                       510  Contributors                                                                                                                                 510  Conflicts of interest 
natives for those who do not wish  or are unable  to eliminate  nicotine from their lives   Role of funding sources  This workwas supported by Nicoventures Limited  London  UK  Nicoventures  focus is  thedevelopment and production of innovative  highquality inhaled nicotine products that  meet relevant regulatory requirements  Nicoventures Limited is a stand alone company  within the British American Tob
wed  the content critically at all stages and read and approved the final version for publication   Conflicts of interest  Karl Olov FagerstrÃ m is a consultant to a number of companies  Pfizer  Niconovum   Novartis  Nicoventures  Independent Pharmaceutica  Moberg Pharma  Chrono  with an  interest in treatments for tobacco dependence   Kevin Bridgman is an employee of Nicoventures Limited   Acknowledgment"
"Feighery, EC et al. (2001)",10.1136/tc.10.2.184,Documents/E-cigarette citation library.Data/PDF/3926941556/10.1136_tc.10.2.184-2001.pdf,Cigarette advertising and promotional strategies in retail outlets: Results of a statewide survey in California,Tobacco Control,1,Journal article,
"Hill, AB (1965)",10.1177/0141076814562718,Documents/E-cigarette citation library.Data/PDF/0200256356/10.1177_0141076814562718-2015.pdf,The environment and disease: association or causation?,Journal of the Royal Society of Medicine,1,Journal article,Coherence  On the other hand the cause and effect  interpretation of our data should not seriously  conflict with the generally known facts of the nat   ural history and biology of the disease â   in the  expression of the Advisory Committee to the  Surgeon General it should have coherence   Thus in the discussion of lung cancer  the  Committee finds its association with cigarette smok   ing coherent with
"Hopkins, DP et al. (2010)",10.1016/j.amepre.2009.10.029,Documents/E-cigarette citation library.Data/PDF/0110859285/10.1016_j.amepre.2009.10.029-2010.pdf,Smokefree Policies to Reduce Tobacco Use. A Systematic Review,American Journal of Preventive Medicine,1,Journal article,
"Klein, JD (2015)",10.1001/jamapediatrics.2015.1929,Documents/E-cigarette citation library.Data/PDF/0152052263/10.1001_jamapediatrics.2015.1929-20151.pdf,Electronic cigarettes are another route to nicotine addiction for youth,JAMA Pediatrics,1,Journal article,07   jklein aap org    Published Online  September 8  2015   doi 10 1001 jamapediatrics 2015 1929   Conflict of Interest Disclosures  None reported   REFERENCES  1  Primack BA  Soneji S  Stoolmiller M  Fine MJ   Sargent JD  Progression to traditional cigarette  smoking after electronic cigarette use among US  adolescents and young adults  published online  September 8  2015   JAMA Pediatr  doi 10 1001   j
"Mejia, AB et al. (2010)",10.1136/tc.2009.031427,Documents/E-cigarette citation library.Data/PDF/3425538985/10.1136_tc.2009.031427-2010.pdf,Quantifying the effects of promoting smokeless tobacco as a harm reduction strategy in the USA,Tobacco Control,1,Journal article,dorse promotion of smokeless tobacco products as  part of a comprehensive harm reduction strategy   Funding This work was supported by National Cancer Institute Grant CA 61021  the  Flight Attendant Medical Research Institute  FAMRI  and the Centers for Disease  Control and Prevention  SAG is American Legacy Foundation Distinguished Professor in  Tobacco Control  The funding agencies played no role in st
"Pucci, LG et al. (1998)",10.1016/S0749-3797(98)00034-8,Documents/E-cigarette citation library.Data/PDF/3589470176/10.1016_S0749-3797(98)00034-8-1998.pdf,Outdoor tobacco advertising in six Boston neighborhoods: Evaluating youth exposure,American Journal of Preventive Medicine,1,Journal article,
"Roeseler, A et al. (2010)",10.1136/tc.2009.031963,Documents/E-cigarette citation library.Data/PDF/0376542803/10.1136_tc.2009.031963-20101.pdf,Tobacco marketing in California and implications for the future,Tobacco Control,1,Journal article,"ance  The methodology to  estimate audience size varied slightly between the two surveys   Owing to funding limitations  a purposive sampling plan was  used to select events for observation  Selection criteria were  based on past history of the event including having a large  audience  a tobacco sponsored adult only area  the free distri   bution of tobacco products  presence of a mobile electronic  scor
A provision related to the use of cartoons to advertise or  promote cigarettes    Court judgment    Declaration that some images in Camel the Farm promotion were  prohibited cartoons    State entitled to attorneys fees  amount to be determined  case  still pending   Tobacco Control 2010 19 Suppl 1  i21ei29  doi 10 1136 tc 2009 031963 i29  Research paper  "
"Shang, C et al. (2015)",10.1136/tobaccocontrol-2014-051771,Documents/E-cigarette citation library.Data/PDF/3242526414/10.1136_tobaccocontrol-2014-051771-2015.pdf,The association between tax structure and cigarette price variability: Findings from the ITC Project,Tobacco Control,1,Journal article,"work after discussion with other authors  and is responsible for the overall content as guarantor   Funding The data collection for the ITC Project is supported by grants R01 CA  100362 and P50 CA111236  Roswell Park Transdisciplinary Tobacco Use Research  Center  and P01 CA138389  R01 CA090955  from the National Cancer Institute of  the United States  Robert Wood Johnson Foundation  045734   Canadian In
 is funded by the European Commission through FP7  HEALTH F3 2011 278273   Competing interests None declared   Patient consent Obtained   Ethics approval All ITC surveys were conducted with ethics clearance from the  Office of Research Ethics at the University of Waterloo  Canada and the respective  Internal Review Boards for each country   Provenance and peer review Not commissioned  externally peer re"
"West, R and Brown, J (2014)",10.3399/bjgp14X681253,Documents/E-cigarette citation library.Data/PDF/0911163145/10.3399_bjgp14X681253-2014.pdf,Electronic cigarettes: Fact and faction,British Journal of General Practice,1,Journal article,
"Maloney, EK et al. (2015)",10.1080/10410236.2014.993496,Documents/E-cigarette citation library.Data/PDF/2302974962/10.1080_10410236.2014.993496-2016.pdf,"Does Vaping in E-Cigarette Advertisements Affect Tobacco Smoking Urge, Intentions, and Perceptions in Daily, Intermittent, and Former Smokers?",Health Communication,1,Journal article,
